,,PassengerId,Survived
0,,892,[0.06449216604232788]
1,,893,[1.004828929901123]
2,,894,[0.17270050942897797]
3,,895,[0.036932606250047684]
4,,896,[1.004828929901123]
5,,897,[0.0510302372276783]
6,,898,[1.004828929901123]
7,,899,[0.05417121201753616]
8,,900,[0.0]
9,,901,[0.0329313799738884]
10,,902,[0.06632955372333527]
11,,903,[0.12072300165891647]
12,,904,[1.004828929901123]
13,,905,[0.19016091525554657]
14,,906,[1.004828929901123]
15,,907,[1.004828929901123]
16,,908,[0.07319927215576172]
17,,909,[0.014884849078953266]
18,,910,[1.004828929901123]
19,,911,[1.004828929901123]
20,,912,[0.16766516864299774]
21,,913,[0.8337270617485046]
22,,914,[1.004828929901123]
23,,915,[0.0]
24,,916,[1.004828929901123]
25,,917,[0.13530142605304718]
26,,918,[1.004828929901123]
27,,919,[0.020396772772073746]
28,,920,[0.0]
29,,921,[0.09403467178344727]
30,,922,[0.14225289225578308]
31,,923,[0.060241349041461945]
32,,924,[1.004828929901123]
33,,925,[1.004828929901123]
34,,926,[0.07553446292877197]
35,,927,[0.0050156996585428715]
36,,928,[1.004828929901123]
37,,929,[1.004828929901123]
38,,930,[0.029583292081952095]
39,,931,[0.06632955372333527]
40,,932,[0.08131780475378036]
41,,933,[0.08018550276756287]
42,,934,[0.0]
43,,935,[1.004828929901123]
44,,936,[1.004828929901123]
45,,937,[0.029583292081952095]
46,,938,[0.11703792959451675]
47,,939,[0.06632955372333527]
48,,940,[1.004828929901123]
49,,941,[1.004828929901123]
50,,942,[0.05342314392328262]
51,,943,[0.043717436492443085]
52,,944,[1.004828929901123]
53,,945,[1.004828929901123]
54,,946,[0.07319927215576172]
55,,947,[-0.06700898706912994]
56,,948,[0.0]
57,,949,[0.029583292081952095]
58,,950,[0.08018199354410172]
59,,951,[1.004828929901123]
60,,952,[0.0049939281307160854]
61,,953,[0.06214355304837227]
62,,954,[0.003691723570227623]
63,,955,[1.004828929901123]
